C07C1/00	いずれも炭化水素でない１個またはそれ以上の化合物からの炭化水素の製造
C07C21/10	トリクロロエチレン
C07C21/12	テトラクロロエチレン
C07C21/14	臭素を含有するもの
C07C21/16	臭化クロチル
C07C21/17	ヨウ素を含有するもの
C07C21/18	フッ素を含有するもの
C07C21/185	テトラフルオロエチレン
C07C21/19	ハロゲン化されたジエン
C07C21/20	ハロゲン化されたブタジエン
C07C21/21	クロロプレン
C07C21/215	３個以上の炭素―炭素二重結合を有するハロゲン化されたポリエン
C07C21/22	炭素―炭素三重結合を含有するもの
C07C22/00	非環式炭素原子に結合しているハロゲン原子を含有する環式化合物
C07C22/02	環内に不飽和結合をもつもの
C07C22/04	６員芳香環を含有するもの
C07C22/06	トリクロロメチルベンゼン
C07C22/08	フッ素を含有するもの
C07C23/00	６員芳香環以外の環に結合している少なくとも１個のハロゲン原子を含有する化合物
C07C23/02	ハロゲン化された単環式炭化水素
C07C23/04	３員環をもつもの
C07C23/06	４員環をもつもの
C07C23/08	５員環をもつもの
C07C23/10	６員環をもつもの
C07C23/12	ヘキサクロロシクロヘキサン
C07C23/14	７員環をもつもの
C07C23/16	８員環をもつもの
C07C23/18	ハロゲン化された多環式炭化水素
C07C23/20	いずれの環も芳香族性を有しない縮合環系を有するもの
C07C23/22	４個の炭素原子を含有するビシクロ環系をもつもの
C07C23/24	５個の炭素原子を含有するビシクロ環系をもつもの
C07C23/26	６個の炭素原子を含有するビシクロ環系をもつもの
C07C23/27	７個の炭素原子を含有するビシクロ環系をもつもの
C07C23/28	飽和ビシクロ環系
C07C23/30	単不飽和ビシクロ環系
C07C23/32	８個の炭素原子を含有するビシクロ環系をもつもの
C07C23/34	ハロゲン化された完全または部分水素化されたインデン
C07C23/36	ハロゲン化された完全または部分水素化されたナフタレン
C07C23/38	３個の縮合環をもつもの
C07C23/40	ハロゲン化された完全または部分水素化されたフルオレン
C07C23/42	ハロゲン化された完全または部分水素化されたアントラセン
C07C23/44	ハロゲン化された完全または部分水素化されたフェナントレン
C07C23/46	４個以上の縮合環を有するもの
C07C25/00	６員芳香環に結合している少なくとも１個のハロゲン原子を含有する化合物
C07C25/02	ハロゲン化された単環式芳香族炭化水素
C07C25/06	モノクロロベンゼン
C07C25/08	ジクロロベンゼン
C07C25/10	トリクロロベンゼン
C07C25/12	ヘキサクロロベンゼン
C07C25/125	ハロゲン化されたキシレン
C07C25/13	フッ素を含有するもの
C07C25/18	ハロゲン化された多環式芳香族炭化水素
C07C25/20	ジクロロ―ジフェニル―トリクロロ―エタン（ＤＤＴ）
C07C25/22	縮合環をもつもの
C07C25/24	不飽和側鎖をもつハロゲン化された芳香族炭化水素
C07C25/28	ハロゲン化されたスチレン
C07C27/00	２クラス以上の酸素含有化合物の同時製造を含むプロセス
C07C27/04	酸素を含有する化合物の還元によるもの（Ｃ０７Ｃ２９／１４が優先）
C07C27/06	炭素の酸化物の水素添加によるもの
C07C27/08	移動触媒を用いるもの
C07C27/10	炭化水素の酸化によるもの
C07C27/12	酸素を用いるもの
C07C27/14	完全ガス状反応
C07C27/16	他の酸化剤を用いるもの
C07C27/18	アルキンをアルデヒド，ケトンまたはアルキレンオキシドに付加することによるもの
C07C27/20	オキソ反応によるもの
C07C27/22	このプロセスに特有の触媒を用いるもの
C07C27/24	移動触媒を用いるもの
C07C27/26	精製；分離；安定化
C07C27/28	蒸留によるもの
C07C27/30	共沸蒸留によるもの
C07C27/32	抽出蒸留によるもの
C07C27/34	抽出によるもの
C07C29/00	６員芳香環に属していない炭素原子に結合している水酸基またはＯ―金属基をもつ化合物の製造
C07C29/03	不飽和炭素―炭素結合に水酸基を付加することによるもの，例．Ｈ２Ｏ２を用いるもの（−ＯＨ木およびハロゲンの同時導入によるものＣ０７Ｃ２９／６４）
C07C29/04	炭素―炭素二重結合の水和によるもの
C07C29/05	鉱酸中で吸収生成物を形成しそれを加水分解することによるもの（加水分解方法に特徴のあるものＣ０７Ｃ２９／１２）
C07C29/06	酸が硫酸であるもの
C07C29/08	酸がリン酸であるもの
C07C29/09	加水分解によるもの
C07C29/095	｛有機酸のエステルの｝
C07C29/10	エーテル（環状エーテルを含む）の，例．オキシラン
C07C29/103	｛環状エーテルの｝
C07C29/106	｛オキシランの｝
C07C29/12	鉱酸エステルの
C07C29/124	ハロゲン化物の
C07C29/128	アルコール分解によるもの
C07C29/1285	｛有機酸のエステルの｝
C07C29/132	酸素含有官能基の還元によるもの
C07C29/136	＞Ｃ＝Ｏ　含有基の，例．．−ＣＯＯＨ
C07C29/14	　−ＣＨＯ　基の
C07C29/141	水素または水素含有ガスによるもの
C07C29/143	ケトンの
C07C29/145	水素または水素含有ガスによるもの
C07C29/147	カルボン酸またその誘導体の
C07C29/149	水素または水素含有ガスによるもの
C07C29/15	炭素の酸化物の還元のみによるもの
C07C29/151	水素または水素含有ガスによるもの
C07C29/1512	｛反応条件に特徴があるもの｝
C07C29/1514	｛溶媒に特徴があるもの｝
C07C29/1516	｛多段工程｝
C07C29/1518	｛一段階が，合成のための炭素酸化物と水素の初期混合物の形成であるもの｝
C07C29/152	用いられる反応器に特徴のあるもの
C07C29/153	用いられる触媒に特徴のあるもの
C07C29/154	銅，銀，金またはその化合物を含有するもの
C07C29/156	鉄族金属，白金族金属またはその化合物を含有するもの
C07C29/157	白金族金属またはその化合物を含有するもの
C07C29/158	ロジウムまたはその化合物を含有するもの
C07C29/159	水素または水素含有ガス以外の還元剤によるもの
C07C29/16	還元と組み合わせたオキソ反応によるもの
C07C29/17	炭素―炭素二重結合または三重結合の水素添加によるもの
C07C29/172	｛完全飽和アルコールの取得によるもの｝
C07C29/175	｛オキソ基の同時還元によるもの｝
C07C29/177	｛カルボキシ基の同時還元によるもの｝
C07C29/19	６員芳香環における
C07C29/20	水酸基が置換している非縮合環における
C07C29/32	　−ＯＨ基の生成を伴わない炭素原子数の増加する反応によるもの
C07C29/34	水酸基またはその鉱酸エステルの関与する縮合反応によるもの，例．ゲルベ反応
C07C29/36	水酸基の生成を伴う炭素原子数の増加する反応によるもの，水酸基の誘導体，例．Ｏ―金属基，を中間体として経由する場合も含む
C07C29/38	アルデヒドまたはケトンとの反応によるもの
C07C29/40	炭素―金属結合を含有する化合物とのもの
C07C29/42	炭素―炭素三重結合を含有する化合物とのもの，例．金属アルキンとのもの
C07C29/44	付加反応により炭素原子数が増加するもの，すなわち少なくとも１つの炭素―炭素二重結合または三重結合が関与する反応（Ｃ０７Ｃ２９／１６が優先）
C07C29/46	ジエン合成によるもの
C07C29/48	水酸基の形成を伴う酸化反応によるもの
C07C29/50	分子状酸素のみを用いるもの
C07C29/52	無機ホウ素化合物の存在下，必要に応じて形成された中間体の加水分解を伴うもの
C07C29/54	炭素―金属結合を含有する化合物を原料とし，Ｏー金属を水酸基に変換するもの
C07C29/56	異性化によるもの
C07C29/58	ハロゲンの脱離によるもの，例．水素化分解，離脱によるもの（Ｃ０７Ｃ２９／１２４が優先）
C07C29/60	　−ＯＨ基の脱離によるもの，例．脱水によるもの（Ｃ０７Ｃ２９／３４が優先）
C07C29/62	ハロゲンの導入によるもの；ハロゲン原子を他のハロゲン原子で置換するもの
C07C29/64	水酸基とハロゲンを同時に導入するもの
C07C29/66	次亜ハロゲン酸（その場で形成される場合も含む）の炭素―炭素不飽和結合への付加によるもの
C07C29/68	金属アルコラートの製造（Ｃ０７Ｃ２９／４２，Ｃ０７Ｃ２９／５４が優先）
C07C29/685	｛Ｏ−金属基を他のＯ−金属基に変換することによるもの｝
C07C29/70	水酸基をＯ―金属基に変換することによるもの　｛Ｃ０７Ｃ２９／０９　が優先｝
C07C29/705	｛アルコール変換分解（アルコール製造に特徴がある同じ反応はＣ０７Ｃ２９／１２８を参照）｝
C07C29/72	炭素―金属結合の酸化によるもの
C07C29/74	分離；精製；安定化；添加剤の使用，例．安定化のためのもの
C07C29/76	物理的処理によるもの
C07C29/78	凝縮または結晶化によるもの
C07C29/80	蒸留によるもの
C07C29/82	共沸蒸留によるもの
C07C29/84	抽出蒸留によるもの
C07C29/86	液―液処理によるもの
C07C29/88	少なくとも１つの化合物の化学的変性をひきおこす処理によるもの（化学吸着Ｃ０７Ｃ２９／７６）
C07C29/90	水素のみを使用するもの
C07C29/92	連続的変換および再生によるもの
C07C29/94	添加剤の使用，例．安定化のためのもの
C07C31/00	非環式炭素原子に結合した水酸基またはＯ―金属基をもつ飽和化合物
C07C31/02	非環式一価アルコール
C07C31/04	メタノール
C07C31/08	エタノール
C07C31/10	３個の炭素原子を含有するもの
C07C31/12	４個の炭素原子を含有するもの
C07C31/125	５ないし２２個の炭素原子を含有するもの
C07C31/13	飽和環を含有する一価アルコール
C07C31/133	単環式のもの
C07C31/1333	｛３員環を有するもの｝
C07C31/1336	｛４員環を有するもの｝
C07C31/135	５または６員環を有するもの；ナフテンアルコール
C07C31/1355	｛６員環を有するもの｝
C07C31/137	縮合環系を有する多環式のもの
C07C31/18	非環式多価アルコール
C07C31/20	二価アルコール
C07C31/202	
C07C31/205	
C07C31/207	
C07C31/22	三価アルコール，例．グリセリン
C07C31/225	｛グリセロール｝
C07C31/24	四価アルコール，例．ペンタエリスリトール
C07C31/245	｛ペンタエリスリトール｝
C07C31/26	六価アルコール
C07C31/27	飽和環を含有する多価アルコール
C07C31/272	｛単環式のもの｝
C07C31/274	｛３から５員環を有するもの｝
C07C31/276	｛６員環を有するもの｝
C07C31/278	｛縮合間による多環式のもの｝
C07C31/28	金属アルコラート（チタネート，ジルコネートＣ０７Ｆ７／００）
C07C31/30	アルカリ金属またはアルカリ土類金属アルコラート
C07C31/32	アルミニウムアルコラート
C07C31/34	ハロゲン化アルコール
C07C31/36	フッ素以外のハロゲン
C07C31/38	ハロゲンとしてフッ素のみを含有するもの
C07C31/40	パーハロゲン化されたもの
C07C31/42	非環式多価アルコール
C07C31/44	飽和環を含有するハロゲン化アルコール
C07C33/00	非環式炭素原子に結合する水酸基またはＯ―金属基をもつ不飽和化合物<br><br><u>注</u><br><br>　６員芳香環およびその他の環からなる縮合環系においては，ベンゼン環の二重結合は縮合している非芳香環の不飽和結合とはみなさない。例．１，２，３，４−テトラヒドロナフタレン環は芳香環以外が飽和であるとみなす。
C07C33/02	炭素―炭素二重結合を有する非環式アルコール
C07C33/025	ただ１個の二重結合を有するもの
C07C33/03	β―位に有するもの，例．アリルアルコール，メタリルアルコール
C07C33/035	アルケンジオール
C07C33/04	炭素―炭素三重結合を有する非環式アルコール
C07C33/042	１個の三重結合を有するもの
C07C33/044	アルキンジオール
C07C33/046	ブチンジオール
C07C33/048	二重結合および三重結合を有するもの
C07C33/05	６員芳香環以外の環を含有するアルコール
C07C33/12	５員環を含有するもの
